Date,DayOfWeek,FoodItem,Category,Quantity,PricePerItem,TotalSales,CustomerType,Weather,SpecialEvent
2024-06-10,Monday,Sushi,Main Course,2,8.93,17.86,Regular,Sunny,None
2024-06-18,Tuesday,Tacos,Main Course,8,22.23,177.84,Regular,Sunny,None
2024-05-13,Monday,Sushi,Main Course,8,6.78,54.24,Regular,Cold,Holiday
2024-06-11,Tuesday,Tea,Drink,4,15.63,62.52,New,Cloudy,None
2024-11-16,Saturday,Sushi,Main Course,3,6.79,20.37,Regular,Cold,None
2024-09-26,Thursday,Tea,Drink,5,15.98,79.9,Regular,Cold,None
2024-10-10,Thursday,Sushi,Main Course,9,18.5,166.5,Regular,Windy,None
2024-10-22,Tuesday,Tacos,Main Course,6,20.09,120.54,Regular,Rainy,Discount Day
2025-02-23,Sunday,Tea,Drink,10,28.77,287.7,Occasional,Cloudy,Festival
2024-12-12,Thursday,Tea,Drink,1,24.08,24.08,Regular,Windy,None
2024-12-17,Tuesday,Sushi,Main Course,3,29.92,89.76,Regular,Stormy,Discount Day
2024-10-01,Tuesday,Ice Cream,Dessert,6,15.21,91.26,Regular,Sunny,Festival
2025-01-14,Tuesday,Steak,Main Course,7,22.34,156.38,Regular,Stormy,Festival
2024-11-04,Monday,Coffee,Drink,1,16.37,16.37,Regular,Cold,None
2024-12-06,Friday,Tacos,Main Course,9,25.62,230.58,Regular,Windy,None
2024-09-30,Monday,Burger,Main Course,4,17.96,71.84,New,Stormy,None
2024-11-01,Friday,Burger,Main Course,4,11.68,46.72,Regular,Cold,None
2025-03-23,Sunday,Ice Cream,Dessert,2,5.72,11.44,New,Rainy,Holiday
2025-01-31,Friday,Sushi,Main Course,9,5.34,48.06,Regular,Rainy,Discount Day
2024-05-22,Wednesday,Pizza,Main Course,8,28.68,229.44,New,Rainy,None
2024-08-16,Friday,Sushi,Main Course,9,22.64,203.76,Regular,Stormy,Discount Day
2024-08-12,Monday,Salad,Appetizer,8,18.78,150.24,Regular,Windy,None
2024-06-02,Sunday,Pasta,Main Course,2,11.91,23.82,New,Stormy,None
2024-06-19,Wednesday,Coffee,Drink,5,25.51,127.55,Regular,Cold,Festival
2025-03-17,Monday,Tea,Drink,8,26.63,213.04,Regular,Stormy,None
2024-06-16,Sunday,Coffee,Drink,9,14.43,129.87,Occasional,Rainy,Discount Day
2024-09-13,Friday,Salad,Appetizer,10,14.57,145.7,Occasional,Stormy,None
2024-11-12,Tuesday,Ice Cream,Dessert,7,14.65,102.55,New,Cloudy,Discount Day
2024-12-22,Sunday,Ice Cream,Dessert,1,8.16,8.16,Occasional,Cold,Festival
2025-02-13,Thursday,Ice Cream,Dessert,2,18.15,36.3,Regular,Cloudy,None
2024-07-20,Saturday,Pasta,Main Course,2,16.74,33.48,Occasional,Cold,None
2024-10-08,Tuesday,Tacos,Main Course,2,26.29,52.58,Occasional,Windy,None
2024-12-02,Monday,Steak,Main Course,8,26.81,214.48,Regular,Sunny,None
2024-05-24,Friday,Sushi,Main Course,4,23.67,94.68,Regular,Sunny,Holiday
2024-03-31,Sunday,Pizza,Main Course,8,9.16,73.28,Regular,Sunny,None
2024-10-06,Sunday,Burger,Main Course,5,13.96,69.8,Regular,Rainy,None
2024-04-04,Thursday,Tea,Drink,3,9.25,27.75,Regular,Stormy,None
2024-09-24,Tuesday,Salad,Appetizer,8,27.82,222.56,Regular,Stormy,None
2025-02-25,Tuesday,Ice Cream,Dessert,5,21.67,108.35,Occasional,Stormy,Weekend Special
2024-11-26,Tuesday,Coffee,Drink,3,6.85,20.55,Occasional,Windy,None
2024-12-15,Sunday,Tacos,Main Course,5,16.42,82.1,Regular,Stormy,Festival
2024-09-17,Tuesday,Pizza,Main Course,4,14.53,58.12,Regular,Cold,Discount Day
2025-01-12,Sunday,Sushi,Main Course,1,29.45,29.45,New,Cold,None
2024-11-12,Tuesday,Burger,Main Course,10,23.63,236.3,Occasional,Cold,Holiday
2024-11-26,Tuesday,Salad,Appetizer,10,25.05,250.5,Regular,Rainy,None
2025-01-29,Wednesday,Pasta,Main Course,2,27.59,55.18,New,Cold,Holiday
2025-02-19,Wednesday,Burger,Main Course,10,14.12,141.2,Regular,Cold,None
2024-06-24,Monday,Tacos,Main Course,3,10.02,30.06,New,Cold,None
2024-05-02,Thursday,Sushi,Main Course,3,11.42,34.26,Occasional,Stormy,Discount Day
2024-10-23,Wednesday,Sushi,Main Course,6,25.11,150.66,Regular,Sunny,None
2025-01-24,Friday,Salad,Appetizer,7,29.18,204.26,Occasional,Cold,None
2024-06-08,Saturday,Tacos,Main Course,1,11.61,11.61,Regular,Cold,None
2024-08-10,Saturday,Sushi,Main Course,10,14.53,145.3,New,Cold,None
2024-05-12,Sunday,Salad,Appetizer,8,5.63,45.04,Occasional,Windy,None
2024-09-22,Sunday,Tea,Drink,4,21.19,84.76,New,Stormy,Weekend Special
2024-11-23,Saturday,Sushi,Main Course,7,7.92,55.44,Regular,Sunny,None
2024-12-13,Friday,Ice Cream,Dessert,2,7.43,14.86,Occasional,Rainy,None
2024-06-29,Saturday,Steak,Main Course,9,15.48,139.32,New,Rainy,Festival
2025-01-13,Monday,Pizza,Main Course,8,20.39,163.12,Occasional,Cold,None
2024-11-11,Monday,Steak,Main Course,4,16.08,64.32,Occasional,Cold,None
2024-07-23,Tuesday,Steak,Main Course,9,27.54,247.86,New,Sunny,None
2024-05-15,Wednesday,Salad,Appetizer,2,28.73,57.46,Occasional,Sunny,None
2024-06-20,Thursday,Tea,Drink,1,6.26,6.26,Regular,Rainy,Holiday
2025-03-07,Friday,Salad,Appetizer,2,25.75,51.5,New,Windy,None
2024-04-22,Monday,Salad,Appetizer,6,24.36,146.16,New,Windy,None
2024-08-07,Wednesday,Pasta,Main Course,3,18.51,55.53,New,Sunny,None
2025-03-23,Sunday,Burger,Main Course,3,5.37,16.11,New,Rainy,None
2024-08-31,Saturday,Burger,Main Course,3,11.63,34.89,Regular,Stormy,None
2025-02-19,Wednesday,Pizza,Main Course,8,16.21,129.68,Regular,Windy,None
2024-06-25,Tuesday,Coffee,Drink,4,28.64,114.56,Regular,Cloudy,None
2024-05-25,Saturday,Ice Cream,Dessert,1,6.52,6.52,Regular,Stormy,None
2024-10-23,Wednesday,Pizza,Main Course,8,22.81,182.48,Regular,Sunny,None
2024-05-15,Wednesday,Pasta,Main Course,2,8.15,16.3,New,Windy,None
2024-12-07,Saturday,Steak,Main Course,7,29.87,209.09,New,Stormy,None
2024-05-20,Monday,Tacos,Main Course,2,24.83,49.66,Regular,Cloudy,None
2024-03-24,Sunday,Coffee,Drink,4,15.75,63.0,Occasional,Stormy,None
2025-02-27,Thursday,Ice Cream,Dessert,7,15.4,107.8,Regular,Stormy,None
2024-09-16,Monday,Sushi,Main Course,6,28.84,173.04,New,Stormy,None
2024-10-25,Friday,Pizza,Main Course,2,15.8,31.6,New,Cold,Festival
2024-05-05,Sunday,Coffee,Drink,1,19.66,19.66,New,Cold,None
2024-11-02,Saturday,Tacos,Main Course,6,26.84,161.04,Occasional,Stormy,Festival
2024-04-05,Friday,Burger,Main Course,5,20.01,100.05,Regular,Windy,None
2024-10-14,Monday,Pasta,Main Course,8,10.61,84.88,Regular,Windy,None
2024-08-09,Friday,Sushi,Main Course,10,10.65,106.5,Regular,Windy,Discount Day
2024-12-12,Thursday,Tea,Drink,10,21.87,218.7,New,Windy,Weekend Special
2024-10-25,Friday,Sushi,Main Course,1,9.51,9.51,New,Cold,Weekend Special
2025-01-06,Monday,Steak,Main Course,1,9.54,9.54,Regular,Cloudy,None
2024-06-22,Saturday,Pasta,Main Course,1,7.29,7.29,New,Stormy,None
2024-08-23,Friday,Steak,Main Course,3,14.25,42.75,New,Windy,None
2024-05-28,Tuesday,Burger,Main Course,3,8.94,26.82,New,Cloudy,None
2024-05-10,Friday,Ice Cream,Dessert,7,17.14,119.98,Regular,Cold,None
2024-10-23,Wednesday,Coffee,Drink,2,13.63,27.26,Regular,Cloudy,None
2024-10-21,Monday,Ice Cream,Dessert,9,21.68,195.12,Regular,Stormy,Discount Day
2024-04-17,Wednesday,Burger,Main Course,1,10.11,10.11,Occasional,Rainy,Holiday
2024-07-29,Monday,Sushi,Main Course,6,8.0,48.0,Regular,Stormy,None
2024-12-07,Saturday,Tacos,Main Course,9,22.59,203.31,New,Cloudy,Festival
2024-07-11,Thursday,Pizza,Main Course,7,26.54,185.78,Regular,Sunny,None
2024-06-20,Thursday,Pizza,Main Course,6,19.39,116.34,New,Cloudy,None
2024-04-08,Monday,Sushi,Main Course,2,15.13,30.26,Occasional,Rainy,Festival
2024-07-02,Tuesday,Tea,Drink,8,25.8,206.4,Occasional,Sunny,None
2025-02-28,Friday,Pizza,Main Course,4,15.89,63.56,Regular,Sunny,None
2024-10-13,Sunday,Sushi,Main Course,6,10.54,63.24,New,Sunny,None
2025-01-07,Tuesday,Pizza,Main Course,9,17.75,159.75,Occasional,Cold,None
2024-04-02,Tuesday,Pasta,Main Course,4,7.57,30.28,Regular,Rainy,None
2024-04-06,Saturday,Pizza,Main Course,3,28.78,86.34,New,Stormy,Holiday
2024-06-24,Monday,Tea,Drink,8,22.03,176.24,Occasional,Cloudy,None
2025-01-24,Friday,Tea,Drink,6,26.61,159.66,New,Rainy,None
2025-01-16,Thursday,Ice Cream,Dessert,8,20.78,166.24,New,Windy,None
2024-04-12,Friday,Coffee,Drink,2,12.76,25.52,Regular,Sunny,None
2024-06-14,Friday,Sushi,Main Course,2,21.12,42.24,Occasional,Sunny,None
2024-04-19,Friday,Coffee,Drink,7,16.57,115.99,New,Cloudy,Festival
2024-03-27,Wednesday,Ice Cream,Dessert,10,21.3,213.0,Regular,Stormy,None
2024-03-27,Wednesday,Burger,Main Course,8,7.59,60.72,Occasional,Cold,Discount Day
2025-02-23,Sunday,Pizza,Main Course,9,21.15,190.35,Regular,Cloudy,None
2024-06-27,Thursday,Ice Cream,Dessert,9,18.07,162.63,Regular,Cold,Weekend Special
2024-06-17,Monday,Tacos,Main Course,7,24.36,170.52,New,Sunny,Holiday
2024-11-12,Tuesday,Steak,Main Course,2,13.24,26.48,New,Stormy,None
2025-02-26,Wednesday,Tea,Drink,3,13.33,39.99,New,Rainy,Weekend Special
2024-12-27,Friday,Sushi,Main Course,7,8.22,57.54,New,Sunny,None
2025-01-05,Sunday,Tacos,Main Course,6,25.33,151.98,New,Cloudy,Discount Day
2024-05-26,Sunday,Coffee,Drink,2,21.15,42.3,Regular,Cold,None
2024-03-27,Wednesday,Sushi,Main Course,3,28.78,86.34,Regular,Stormy,None
2025-01-26,Sunday,Pasta,Main Course,3,6.93,20.79,Occasional,Sunny,None
2024-11-14,Thursday,Coffee,Drink,9,5.94,53.46,Regular,Windy,None
2024-09-20,Friday,Tacos,Main Course,3,9.06,27.18,Occasional,Windy,Festival
2025-03-09,Sunday,Pasta,Main Course,8,6.09,48.72,Regular,Cloudy,None
2024-04-22,Monday,Ice Cream,Dessert,10,12.12,121.2,New,Stormy,None
2024-04-07,Sunday,Salad,Appetizer,5,29.14,145.7,New,Rainy,None
2024-09-10,Tuesday,Tea,Drink,8,16.54,132.32,Regular,Stormy,None
2024-08-29,Thursday,Tacos,Main Course,3,25.42,76.26,Occasional,Rainy,Festival
2024-12-27,Friday,Burger,Main Course,8,26.85,214.8,New,Sunny,Holiday
2024-05-22,Wednesday,Coffee,Drink,2,12.13,24.26,New,Cold,None
2024-12-06,Friday,Coffee,Drink,3,25.78,77.34,Regular,Rainy,Festival
2024-08-21,Wednesday,Steak,Main Course,1,15.37,15.37,Regular,Cold,None
2024-08-06,Tuesday,Pizza,Main Course,6,10.61,63.66,Regular,Sunny,Festival
2024-06-20,Thursday,Steak,Main Course,3,8.44,25.32,Regular,Stormy,None
2024-04-01,Monday,Pasta,Main Course,8,16.22,129.76,Regular,Sunny,None
2024-07-25,Thursday,Salad,Appetizer,3,18.72,56.16,New,Windy,None
2024-06-15,Saturday,Sushi,Main Course,4,12.53,50.12,Regular,Stormy,None
2024-08-10,Saturday,Tea,Drink,8,6.57,52.56,Occasional,Stormy,None
2024-05-09,Thursday,Burger,Main Course,9,19.38,174.42,New,Cold,None
2024-10-15,Tuesday,Tea,Drink,6,11.01,66.06,Regular,Cloudy,None
2024-06-23,Sunday,Coffee,Drink,6,6.69,40.14,New,Windy,Holiday
2024-05-14,Tuesday,Coffee,Drink,9,5.51,49.59,Occasional,Sunny,None
2024-04-30,Tuesday,Steak,Main Course,5,23.68,118.4,Regular,Sunny,None
2024-07-22,Monday,Pizza,Main Course,10,23.38,233.8,Regular,Sunny,None
2025-03-22,Saturday,Steak,Main Course,3,25.76,77.28,New,Cloudy,None
2025-01-05,Sunday,Pasta,Main Course,3,6.58,19.74,New,Stormy,None
2025-01-29,Wednesday,Salad,Appetizer,1,24.78,24.78,Occasional,Cold,Weekend Special
2024-11-09,Saturday,Coffee,Drink,7,29.73,208.11,New,Cold,None
2024-08-25,Sunday,Salad,Appetizer,5,13.92,69.6,New,Cloudy,None
2024-09-04,Wednesday,Pizza,Main Course,6,15.92,95.52,Regular,Stormy,Festival
2024-11-25,Monday,Tacos,Main Course,6,29.34,176.04,Regular,Stormy,None
2024-07-26,Friday,Coffee,Drink,5,25.03,125.15,New,Sunny,None
2024-06-18,Tuesday,Pasta,Main Course,9,12.34,111.06,Regular,Cold,None
2024-06-11,Tuesday,Sushi,Main Course,8,20.07,160.56,Regular,Cloudy,None
2025-03-03,Monday,Ice Cream,Dessert,1,23.17,23.17,Occasional,Windy,Discount Day
2024-03-30,Saturday,Sushi,Main Course,1,6.88,6.88,New,Cold,None
2024-09-05,Thursday,Pasta,Main Course,1,8.57,8.57,New,Stormy,None
2024-10-22,Tuesday,Pizza,Main Course,4,24.46,97.84,Regular,Stormy,Weekend Special
2024-04-16,Tuesday,Burger,Main Course,10,8.84,88.4,Regular,Cold,None
2024-12-29,Sunday,Pizza,Main Course,10,8.44,84.4,Regular,Cold,None
2024-10-13,Sunday,Salad,Appetizer,2,5.65,11.3,Regular,Windy,None
2025-01-19,Sunday,Coffee,Drink,2,11.54,23.08,Regular,Stormy,None
2024-11-13,Wednesday,Tea,Drink,5,22.35,111.75,Occasional,Rainy,None
2024-09-11,Wednesday,Pizza,Main Course,8,9.32,74.56,New,Sunny,Festival
2024-12-03,Tuesday,Steak,Main Course,6,22.74,136.44,New,Cold,Festival
2025-01-31,Friday,Pasta,Main Course,3,24.84,74.52,New,Sunny,Discount Day
2024-11-21,Thursday,Pasta,Main Course,4,24.76,99.04,Regular,Windy,None
2024-07-04,Thursday,Ice Cream,Dessert,9,8.24,74.16,Occasional,Sunny,None
2025-02-01,Saturday,Ice Cream,Dessert,9,15.27,137.43,Regular,Windy,None
2024-11-02,Saturday,Steak,Main Course,2,16.25,32.5,New,Cold,None
2024-09-16,Monday,Coffee,Drink,10,9.55,95.5,Occasional,Stormy,None
2025-01-17,Friday,Burger,Main Course,2,17.95,35.9,Regular,Rainy,None
2024-11-20,Wednesday,Salad,Appetizer,6,28.69,172.14,New,Cold,Festival
2025-02-26,Wednesday,Sushi,Main Course,4,20.88,83.52,New,Rainy,None
2024-04-17,Wednesday,Tea,Drink,9,7.34,66.06,New,Windy,Weekend Special
2024-11-25,Monday,Pasta,Main Course,3,21.47,64.41,New,Windy,None
2025-01-05,Sunday,Tea,Drink,1,25.63,25.63,Regular,Sunny,Weekend Special
2025-01-17,Friday,Tea,Drink,5,21.28,106.4,New,Stormy,None
2025-01-22,Wednesday,Burger,Main Course,8,27.22,217.76,New,Cloudy,Discount Day
2024-10-08,Tuesday,Ice Cream,Dessert,4,25.12,100.48,New,Cold,None
2024-12-03,Tuesday,Burger,Main Course,3,15.99,47.97,Regular,Rainy,None
2024-09-28,Saturday,Pasta,Main Course,6,26.54,159.24,Regular,Cold,Discount Day
2024-09-01,Sunday,Pasta,Main Course,6,17.87,107.22,Regular,Rainy,None
2024-05-07,Tuesday,Sushi,Main Course,8,11.2,89.6,Regular,Cold,Weekend Special
2024-11-26,Tuesday,Tea,Drink,7,11.21,78.47,Occasional,Rainy,Festival
2024-07-07,Sunday,Tea,Drink,6,9.75,58.5,Regular,Windy,None
2024-10-19,Saturday,Sushi,Main Course,8,5.58,44.64,Occasional,Windy,None
2024-06-26,Wednesday,Salad,Appetizer,4,19.58,78.32,Regular,Cold,None
2024-10-11,Friday,Ice Cream,Dessert,5,18.42,92.1,Occasional,Stormy,None
2024-10-11,Friday,Sushi,Main Course,6,24.1,144.6,Regular,Stormy,None
2025-01-05,Sunday,Coffee,Drink,4,14.06,56.24,Regular,Stormy,None
2024-11-13,Wednesday,Coffee,Drink,5,25.63,128.15,New,Windy,None
2024-07-03,Wednesday,Pizza,Main Course,7,14.33,100.31,Occasional,Windy,Weekend Special
2024-06-26,Wednesday,Pasta,Main Course,4,20.06,80.24,Regular,Sunny,None
2024-07-11,Thursday,Pasta,Main Course,6,25.1,150.6,New,Rainy,None
